organism_encoded,antibiotic_encoded,is_south_asian,year_normalized,is_ampicillin,is_ciprofloxacin,is_tetracycline,is_gentamicin,is_imipenem,is_trimethoprim,is_escherichia_coli,is_klebsiella_pneumoniae,is_staphylococcus_aureus
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
0,0,0,0.5,1,0,0,0,0,0,1,0,0
0,1,0,0.5,0,1,0,0,0,0,1,0,0
0,2,0,0.5,0,0,0,1,0,0,1,0,0
0,3,0,0.5,0,0,0,0,1,0,1,0,0
0,4,0,0.5,0,0,1,0,0,0,1,0,0
0,5,0,0.5,0,0,0,0,0,1,1,0,0
