genome_id,genome_name,antibiotic,resistant_phenotype,label,organism
562.135136,Escherichia coli Escherichia coli AZ1114,ampicillin,resistant,1,Escherichia coli
562.135136,Escherichia coli Escherichia coli AZ1114,ciprofloxacin,resistant,1,Escherichia coli
562.135136,Escherichia coli Escherichia coli AZ1114,gentamicin,susceptible,0,Escherichia coli
562.135136,Escherichia coli Escherichia coli AZ1114,imipenem,susceptible,0,Escherichia coli
562.135136,Escherichia coli Escherichia coli AZ1114,tetracycline,resistant,1,Escherichia coli
562.135136,Escherichia coli Escherichia coli AZ1114,trimethoprim,resistant,1,Escherichia coli
562.135137,Escherichia coli Escherichia coli EC16256,ampicillin,resistant,1,Escherichia coli
562.135137,Escherichia coli Escherichia coli EC16256,ciprofloxacin,resistant,1,Escherichia coli
562.135137,Escherichia coli Escherichia coli EC16256,gentamicin,resistant,1,Escherichia coli
562.135137,Escherichia coli Escherichia coli EC16256,imipenem,susceptible,0,Escherichia coli
562.135137,Escherichia coli Escherichia coli EC16256,tetracycline,resistant,1,Escherichia coli
562.135137,Escherichia coli Escherichia coli EC16256,trimethoprim,resistant,1,Escherichia coli
562.135138,Escherichia coli Escherichia coli EC16639,ampicillin,resistant,1,Escherichia coli
562.135138,Escherichia coli Escherichia coli EC16639,ciprofloxacin,resistant,1,Escherichia coli
562.135138,Escherichia coli Escherichia coli EC16639,gentamicin,resistant,1,Escherichia coli
562.135138,Escherichia coli Escherichia coli EC16639,imipenem,susceptible,0,Escherichia coli
562.135138,Escherichia coli Escherichia coli EC16639,tetracycline,resistant,1,Escherichia coli
562.135138,Escherichia coli Escherichia coli EC16639,trimethoprim,resistant,1,Escherichia coli
562.135139,Escherichia coli Escherichia coli EC12011,ampicillin,resistant,1,Escherichia coli
562.135139,Escherichia coli Escherichia coli EC12011,ciprofloxacin,resistant,1,Escherichia coli
562.135139,Escherichia coli Escherichia coli EC12011,gentamicin,susceptible,0,Escherichia coli
562.135139,Escherichia coli Escherichia coli EC12011,imipenem,susceptible,0,Escherichia coli
562.135139,Escherichia coli Escherichia coli EC12011,tetracycline,resistant,1,Escherichia coli
562.135139,Escherichia coli Escherichia coli EC12011,trimethoprim,resistant,1,Escherichia coli
