resistant_phenotype,genome_name,genome_id,antibiotic,label,organism
susceptible,Klebsiella pneumoniae strain Klebsiella_pneumoniae_MC1,573.27574,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae strain Klebsiella pneumoniae kpn154,573.31049,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae strain Klebsiella pneumoniae kpn154,573.31049,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae strain Klebsiella pneumoniae kpn154,573.31049,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae strain Klebsiella pneumoniae 1000,573.18699,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae strain Klebsiella pneumoniae 1000,573.18699,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae strain Klebsiella pneumoniae 1041,573.18697,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae strain Klebsiella_pneumoniae_MC1,573.27574,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae strain Klebsiella_pneumoniae_MC1,573.27574,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae strain Klebsiella pneumoniae 1000,573.18699,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae strain Klebsiella pneumoniae 1074,573.18698,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae strain Klebsiella pneumoniae 1074,573.18698,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae strain Klebsiella pneumoniae 1074,573.18698,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae strain Klebsiella pneumoniae 1041,573.18697,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae strain Klebsiella pneumoniae 1074,573.18698,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae strain Klebsiella pneumoniae 1041,573.18697,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae strain Klebsiella pneumoniae 1041,573.18697,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae strain Klebsiella pneumoniae kpn154,573.31049,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae strain Klebsiella_pneumoniae_MC1,573.27574,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae strain Klebsiella pneumoniae 1000,573.18699,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae Klebsiella pneumoniae 7EL,573.83634,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae Klebsiella pneumoniae 7EL,573.83634,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae Klebsiella pneumoniae 7EL,573.83634,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae Klebsiella pneumoniae 7EL,573.83634,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae 23-C-YW-18_klebsiella,573.62623,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae 23-C-YW-18_klebsiella,573.62623,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae 23-C-YW-18_klebsiella,573.62623,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae 23-C-YW-18_klebsiella,573.62623,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae MRSN752001,72407.2898,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain DG7784,72407.1092,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBDAFG-19-0230,72407.2374,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP042,72407.1297,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCDADA-19-0036,72407.2501,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae N4292977,72407.3038,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDAFG-19-0016,72407.2387,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBDAAB-19-0104,72407.2302,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain A2,72407.1439,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCCABB-19-0070,72407.2469,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KpvST15_NDM,72407.1370,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 971/1909,72407.995,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBDEABH-19-0122,72407.2776,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain KKP039,72407.1807,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain H1523,72407.1412,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1489/2411,72407.999,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain NCTC11695,72407.1141,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDDAAF-19-0088,72407.2746,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBEABA-19-0006,72407.2424,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBDDABD-19-0033,72407.2756,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 938/1888,72407.911,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCDACJ-19-0059,72407.2495,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDCAAC-19-0067,72407.2730,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae MRSN752035,72407.2895,ciprofloxacin,1,Klebsiella pneumoniae
