resistant_phenotype,antibiotic,genome_id,genome_name,label,organism
susceptible,tetracycline,1280.16076,Staphylococcus aureus strain Staphylococcus aureus 171,0,Staphylococcus aureus
susceptible,gentamicin,1280.16076,Staphylococcus aureus strain Staphylococcus aureus 171,0,Staphylococcus aureus
susceptible,ciprofloxacin,1280.31939,Staphylococcus aureus strain Staphylococcus_aureus_BgEED30,0,Staphylococcus aureus
susceptible,gentamicin,1280.31939,Staphylococcus aureus strain Staphylococcus_aureus_BgEED30,0,Staphylococcus aureus
susceptible,tetracycline,1280.31939,Staphylococcus aureus strain Staphylococcus_aureus_BgEED30,0,Staphylococcus aureus
susceptible,ciprofloxacin,1280.16076,Staphylococcus aureus strain Staphylococcus aureus 171,0,Staphylococcus aureus
susceptible,ciprofloxacin,1280.16076,Staphylococcus aureus strain Staphylococcus aureus 171,0,Staphylococcus aureus
susceptible,gentamicin,1280.16076,Staphylococcus aureus strain Staphylococcus aureus 171,0,Staphylococcus aureus
susceptible,tetracycline,1280.16076,Staphylococcus aureus strain Staphylococcus aureus 171,0,Staphylococcus aureus
susceptible,ciprofloxacin,1280.31939,Staphylococcus aureus strain Staphylococcus_aureus_BgEED30,0,Staphylococcus aureus
susceptible,gentamicin,1280.31939,Staphylococcus aureus strain Staphylococcus_aureus_BgEED30,0,Staphylococcus aureus
susceptible,tetracycline,1280.31939,Staphylococcus aureus strain Staphylococcus_aureus_BgEED30,0,Staphylococcus aureus
susceptible,tetracycline,46170.318,Staphylococcus aureus subsp. aureus strain SA13-192,0,Staphylococcus aureus
resistant,gentamicin,46170.723,Staphylococcus aureus subsp. aureus strain LTF25,1,Staphylococcus aureus
susceptible,gentamicin,46170.1194,Staphylococcus aureus subsp. aureus strain Q38,0,Staphylococcus aureus
susceptible,ciprofloxacin,561307.24,Staphylococcus aureus subsp. aureus RN4220,0,Staphylococcus aureus
susceptible,gentamicin,46170.1149,Staphylococcus aureus subsp. aureus strain RR103,0,Staphylococcus aureus
resistant,tetracycline,46170.1121,Staphylococcus aureus subsp. aureus strain Sau56,1,Staphylococcus aureus
susceptible,tetracycline,46170.1087,Staphylococcus aureus subsp. aureus strain ATCC 33591_Moe6,0,Staphylococcus aureus
resistant,tetracycline,46170.1184,Staphylococcus aureus subsp. aureus strain ABR102,1,Staphylococcus aureus
susceptible,gentamicin,46170.1124,Staphylococcus aureus subsp. aureus strain Sau100,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1092,Staphylococcus aureus subsp. aureus strain ATCC 33591_Arg4,0,Staphylococcus aureus
susceptible,gentamicin,46170.1160,Staphylococcus aureus subsp. aureus strain LCR01,0,Staphylococcus aureus
resistant,gentamicin,46170.633,Staphylococcus aureus subsp. aureus strain M6KS0564_1,1,Staphylococcus aureus
resistant,gentamicin,46170.816,Staphylococcus aureus subsp. aureus strain 19,1,Staphylococcus aureus
resistant,gentamicin,46170.606,Staphylococcus aureus subsp. aureus strain M6KS0094_1,1,Staphylococcus aureus
susceptible,ciprofloxacin,904741.3,Staphylococcus aureus subsp. aureus 21248,0,Staphylococcus aureus
susceptible,gentamicin,46170.582,Staphylococcus aureus subsp. aureus strain M1KS0526_1,0,Staphylococcus aureus
resistant,tetracycline,93062.74,Staphylococcus aureus subsp. aureus COL,1,Staphylococcus aureus
susceptible,tetracycline,46170.1166,Staphylococcus aureus subsp. aureus strain JGR38,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1146,Staphylococcus aureus subsp. aureus strain RR107,0,Staphylococcus aureus
susceptible,tetracycline,46170.363,Staphylococcus aureus subsp. aureus strain TW20,0,Staphylococcus aureus
susceptible,gentamicin,46170.323,Staphylococcus aureus subsp. aureus strain SA14-118,0,Staphylococcus aureus
susceptible,gentamicin,46170.1113,Staphylococcus aureus subsp. aureus strain sta1645,0,Staphylococcus aureus
susceptible,gentamicin,46170.566,Staphylococcus aureus subsp. aureus strain M1KS0165_1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1168,Staphylococcus aureus subsp. aureus strain ILR37,0,Staphylococcus aureus
susceptible,gentamicin,46170.1120,Staphylococcus aureus subsp. aureus strain Sau62,0,Staphylococcus aureus
resistant,gentamicin,46170.743,Staphylococcus aureus subsp. aureus strain LTF22,1,Staphylococcus aureus
susceptible,ciprofloxacin,1330461.3,Staphylococcus aureus subsp. aureus SA8601,0,Staphylococcus aureus
susceptible,tetracycline,46170.632,Staphylococcus aureus subsp. aureus strain M6KS0560_2,0,Staphylococcus aureus
susceptible,tetracycline,46170.562,Staphylococcus aureus subsp. aureus strain M1KS0130_1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.594,Staphylococcus aureus subsp. aureus strain M1KS0564_1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1143,Staphylococcus aureus subsp. aureus strain RR105,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.742,Staphylococcus aureus subsp. aureus strain LTF23,0,Staphylococcus aureus
susceptible,gentamicin,46170.1192,Staphylococcus aureus subsp. aureus strain SA G5,0,Staphylococcus aureus
resistant,gentamicin,46170.594,Staphylococcus aureus subsp. aureus strain M1KS0564_1,1,Staphylococcus aureus
susceptible,tetracycline,561307.27,Staphylococcus aureus subsp. aureus RN4220,0,Staphylococcus aureus
resistant,ciprofloxacin,46170.812,Staphylococcus aureus subsp. aureus strain 42,1,Staphylococcus aureus
susceptible,gentamicin,46170.362,Staphylococcus aureus subsp. aureus strain TW17,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1136,Staphylococcus aureus subsp. aureus strain RR51,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1185,Staphylococcus aureus subsp. aureus strain ABR39,0,Staphylococcus aureus
susceptible,ciprofloxacin,904733.3,Staphylococcus aureus subsp. aureus 21204,0,Staphylococcus aureus
susceptible,gentamicin,46170.574,Staphylococcus aureus subsp. aureus strain M1KS0321_1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.576,Staphylococcus aureus subsp. aureus strain M1KS0367_1,0,Staphylococcus aureus
susceptible,ciprofloxacin,904800.3,Staphylococcus aureus subsp. aureus CO-85,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1158,Staphylococcus aureus subsp. aureus strain MKR24,0,Staphylococcus aureus
resistant,tetracycline,46170.1137,Staphylococcus aureus subsp. aureus strain RR62,1,Staphylococcus aureus
susceptible,tetracycline,523796.84,Staphylococcus aureus subsp. aureus ST398 2012-3,0,Staphylococcus aureus
susceptible,gentamicin,46170.608,Staphylococcus aureus subsp. aureus strain M6KS0165_1,0,Staphylococcus aureus
susceptible,tetracycline,46170.356,Staphylococcus aureus subsp. aureus strain TW13,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1171,Staphylococcus aureus subsp. aureus strain ACR52,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.616,Staphylococcus aureus subsp. aureus strain M6KS0265_2,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.747,Staphylococcus aureus subsp. aureus strain LTF15,0,Staphylococcus aureus
susceptible,gentamicin,46170.1150,Staphylococcus aureus subsp. aureus strain NCHR59,0,Staphylococcus aureus
susceptible,tetracycline,46170.1085,Staphylococcus aureus subsp. aureus strain Oerebro-086360,0,Staphylococcus aureus
susceptible,tetracycline,46170.358,Staphylococcus aureus subsp. aureus strain TW23,0,Staphylococcus aureus
susceptible,tetracycline,46170.585,Staphylococcus aureus subsp. aureus strain M1KS0526_3,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.596,Staphylococcus aureus subsp. aureus strain M1KS0564_3,0,Staphylococcus aureus
susceptible,tetracycline,904779.3,Staphylococcus aureus subsp. aureus IS-91,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1130,Staphylococcus aureus subsp. aureus strain Sau114,0,Staphylococcus aureus
susceptible,tetracycline,46170.607,Staphylococcus aureus subsp. aureus strain M6KS0094_2,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1192,Staphylococcus aureus subsp. aureus strain SA G5,0,Staphylococcus aureus
resistant,ciprofloxacin,46170.461,Staphylococcus aureus subsp. aureus strain EDCC5458,1,Staphylococcus aureus
susceptible,ciprofloxacin,46170.350,Staphylococcus aureus subsp. aureus strain TW09,0,Staphylococcus aureus
susceptible,tetracycline,46170.592,Staphylococcus aureus subsp. aureus strain M1KS0560_3,0,Staphylococcus aureus
susceptible,tetracycline,46170.737,Staphylococcus aureus subsp. aureus strain LTF32,0,Staphylococcus aureus
susceptible,tetracycline,46170.346,Staphylococcus aureus subsp. aureus strain TW07_2,0,Staphylococcus aureus
susceptible,tetracycline,46170.620,Staphylococcus aureus subsp. aureus strain M6KS0367_3,0,Staphylococcus aureus
susceptible,gentamicin,46170.611,Staphylococcus aureus subsp. aureus strain M6KS0260_1,0,Staphylococcus aureus
resistant,tetracycline,46170.1165,Staphylococcus aureus subsp. aureus strain JGR12,1,Staphylococcus aureus
susceptible,tetracycline,46170.1153,Staphylococcus aureus subsp. aureus strain NCHR53,0,Staphylococcus aureus
resistant,gentamicin,46170.559,Staphylococcus aureus subsp. aureus strain M1KS0094_1,1,Staphylococcus aureus
resistant,tetracycline,46170.1097,Staphylococcus aureus subsp. aureus strain ATCC 33591_Arg2,1,Staphylococcus aureus
resistant,gentamicin,46170.724,Staphylococcus aureus subsp. aureus strain LTF31,1,Staphylococcus aureus
susceptible,tetracycline,46170.809,Staphylococcus aureus subsp. aureus strain 48,0,Staphylococcus aureus
resistant,ampicillin,904787.3,Staphylococcus aureus subsp. aureus IS-189,1,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1157,Staphylococcus aureus subsp. aureus strain RR1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.733,Staphylococcus aureus subsp. aureus strain LTF06,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1098,Staphylococcus aureus subsp. aureus strain ATCC 33591_Arg3,0,Staphylococcus aureus
resistant,ampicillin,904792.3,Staphylococcus aureus subsp. aureus IS-M,1,Staphylococcus aureus
susceptible,tetracycline,46170.501,Staphylococcus aureus subsp. aureus strain CAR,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1122,Staphylococcus aureus subsp. aureus strain Sau54,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1250,Staphylococcus aureus subsp. aureus PartF-Saureus-RM8376,0,Staphylococcus aureus
susceptible,tetracycline,46170.732,Staphylococcus aureus subsp. aureus strain LTF07,0,Staphylococcus aureus
susceptible,ciprofloxacin,904786.3,Staphylococcus aureus subsp. aureus IS-160,0,Staphylococcus aureus
resistant,gentamicin,46170.599,Staphylococcus aureus subsp. aureus strain M1KS0584_2,1,Staphylococcus aureus
susceptible,ciprofloxacin,46170.592,Staphylococcus aureus subsp. aureus strain M1KS0560_3,0,Staphylococcus aureus
susceptible,gentamicin,561307.24,Staphylococcus aureus subsp. aureus RN4220,0,Staphylococcus aureus
susceptible,gentamicin,46170.324,Staphylococcus aureus subsp. aureus strain SA12-154,0,Staphylococcus aureus
susceptible,tetracycline,46170.598,Staphylococcus aureus subsp. aureus strain M1KS0584_4,0,Staphylococcus aureus
susceptible,gentamicin,46170.1085,Staphylococcus aureus subsp. aureus strain Oerebro-086360,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.339,Staphylococcus aureus subsp. aureus strain TW01,0,Staphylococcus aureus
resistant,gentamicin,46170.805,Staphylococcus aureus subsp. aureus strain VB9352,1,Staphylococcus aureus
susceptible,tetracycline,904801.3,Staphylococcus aureus subsp. aureus CO-86,0,Staphylococcus aureus
susceptible,tetracycline,46170.1117,Staphylococcus aureus subsp. aureus strain Sau73,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.578,Staphylococcus aureus subsp. aureus strain M1KS0391_1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1097,Staphylococcus aureus subsp. aureus strain ATCC 33591_Arg2,0,Staphylococcus aureus
resistant,gentamicin,46170.815,Staphylococcus aureus subsp. aureus strain 3 (B) strain 3 (B) strain 3 (B),1,Staphylococcus aureus
susceptible,tetracycline,46170.1119,Staphylococcus aureus subsp. aureus strain Sau57,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1169,Staphylococcus aureus subsp. aureus strain ILR17,0,Staphylococcus aureus
susceptible,tetracycline,46170.1193,Staphylococcus aureus subsp. aureus strain CC1153-MRSA,0,Staphylococcus aureus
resistant,tetracycline,46170.1194,Staphylococcus aureus subsp. aureus strain Q38,1,Staphylococcus aureus
susceptible,tetracycline,1330459.3,Staphylococcus aureus subsp. aureus SA9908,0,Staphylococcus aureus
resistant,tetracycline,46170.1129,Staphylococcus aureus subsp. aureus strain Sau122,1,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1167,Staphylococcus aureus subsp. aureus strain ILR76,0,Staphylococcus aureus
susceptible,tetracycline,46170.1143,Staphylococcus aureus subsp. aureus strain RR105,0,Staphylococcus aureus
resistant,ampicillin,904785.3,Staphylococcus aureus subsp. aureus IS-157,1,Staphylococcus aureus
